Date,Open,High,Low,Close,Adj Close,Volume,Rtx
2017-11-07,43.477501,43.8125,43.400002,43.702499,41.708946,97446000,0.32138531002363635
2017-11-08,43.665001,44.060001,43.5825,44.060001,42.050133,97638000,0.81801875309917
2017-11-09,43.7775,44.025002,43.285,43.970001,41.964245,117930400,-0.20425143482900587
2017-11-10,43.7775,43.845001,43.567501,43.6675,41.825359,100582000,-0.3309627040829599
2017-11-13,43.375,43.625,43.349998,43.4925,41.657742,67928400,-0.40075448007511616
2017-11-14,43.259998,43.369999,42.794998,42.834999,41.027977,99130000,-1.5117598068565496
2017-11-15,42.4925,42.580002,42.095001,42.27,40.486816,116632400,-1.3190048341891303
2017-11-16,42.794998,42.967499,42.575001,42.775002,40.970509,94550000,1.1946926130224744
2017-11-17,42.759998,42.8475,42.41,42.537498,40.743034,87598000,-0.5552164362907952
2017-11-20,42.572498,42.639999,42.389999,42.494999,40.702328,65049600,-0.0999091034801225
2017-11-21,42.695,43.424999,42.695,43.285,41.459,100525200,1.859038627962506
2017-11-22,43.34,43.75,43.262501,43.740002,41.894806,102355600,1.0511734484671686
2017-11-24,43.775002,43.875,43.662498,43.7425,41.897202,56106800,0.005719086036570786
2017-11-27,43.762501,43.77,43.334999,43.522499,41.686478,82867200,-0.5029548273891904
2017-11-28,43.575001,43.717499,42.965,43.267502,41.442242,105715200,-0.5858878267432477
2017-11-29,43.157501,43.23,41.790001,42.369999,40.5826,166665600,-2.0743134505126437
2017-11-30,42.607498,43.035,42.110001,42.962502,41.150101,166108800,1.3983850221523486
2017-12-01,42.487499,42.9175,42.125,42.762501,40.958542,159037200,-0.46551283069754534
2017-12-04,43.119999,43.154999,42.407501,42.450001,40.659222,130169600,-0.7307877316531486
2017-12-05,42.264999,42.880001,42.099998,42.41,40.620907,109400800,-0.09423446420100401
2017-12-06,41.875,42.549999,41.615002,42.252499,40.470047,114240000,-0.37138510964317417
2017-12-07,42.2575,42.610001,42.227501,42.330002,40.544289,102693200,0.18344925569273585
2017-12-08,42.622501,42.75,42.205002,42.342499,40.556255,93420800,0.029513404464931448
2017-12-11,42.299999,43.2225,42.197498,43.1675,41.346455,141095200,1.9484047528550041
2017-12-12,43.037498,43.0975,42.865002,42.924999,41.114178,77636800,-0.5617821406937895
2017-12-13,43.125,43.384998,43.0,43.067501,41.250671,95273600,0.3319852339015439
2017-12-14,43.099998,43.282501,42.912498,43.055,41.238701,81906000,-0.029017709796763658
2017-12-15,43.407501,43.5425,43.115002,43.4925,41.657742,160677200,1.0161353045528676
2017-12-18,43.720001,44.299999,43.715,44.105,42.244408,117684400,1.4083000466035944
2017-12-19,43.7575,43.8475,43.522499,43.634998,41.794235,109745600,-1.065639267568852
2017-12-20,43.717499,43.855,43.3125,43.587502,41.748737,93902400,-0.10886190404011398
2017-12-21,43.5425,44.005001,43.525002,43.752499,41.906773,83799600,0.37854079274302066
2017-12-22,43.669998,43.855,43.625,43.752499,41.906773,65397600,0.0
2017-12-26,42.700001,42.8675,42.419998,42.642502,40.843605,132742000,-2.536983699508444
2017-12-27,42.525002,42.695,42.427502,42.650002,40.850788,85992800,0.01758659648187777
2017-12-28,42.75,42.962502,42.619999,42.77,40.965725,65920800,0.28135809766998143
2017-12-29,42.630001,42.647499,42.305,42.307499,40.522732,103999600,-1.081374734610463
2018-01-02,42.540001,43.075001,42.314999,43.064999,41.248272,102223600,1.790451838242313
2018-01-03,43.1325,43.637501,42.990002,43.057499,41.241089,118071600,-0.017414062824250287
2018-01-04,43.134998,43.3675,43.02,43.2575,41.432659,89738400,0.4645124671659451
2018-01-05,43.360001,43.842499,43.262501,43.75,41.904385,94640000,1.1385366312116174
2018-01-08,43.587502,43.9025,43.482498,43.587502,41.748737,82271200,-0.37143606808690555
2018-01-09,43.637501,43.764999,43.352501,43.5825,41.74395,86336000,-0.01146621513364865
2018-01-10,43.290001,43.575001,43.25,43.572498,41.73436,95839600,-0.022973388958147378
2018-01-11,43.647499,43.872501,43.622501,43.82,41.97142,74670800,0.5680211700862303
2018-01-12,44.044998,44.34,43.912498,44.272499,42.404835,101672400,1.0326431652776913
2018-01-16,44.474998,44.8475,44.035,44.047501,42.189331,118263600,-0.5082061986563469
2018-01-17,44.037498,44.8125,43.767502,44.775002,42.886143,137547200,1.6516308352933828
2018-01-18,44.842499,45.025002,44.5625,44.814999,42.924458,124773600,0.08934121214865254
2018-01-19,44.6525,44.895,44.352501,44.615002,42.732887,129700400,-0.44629800567314026
2018-01-22,44.325001,44.445,44.150002,44.25,42.383293,108434400,-0.818091227957507
2018-01-23,44.325001,44.860001,44.205002,44.259998,42.392864,130756400,0.022582011265614987
2018-01-24,44.3125,44.325001,43.299999,43.555,41.717602,204420400,-1.5928671391487126
2018-01-25,43.627499,43.737499,42.6325,42.7775,40.972904,166116000,-1.7850930166120271
2018-01-26,43.0,43.0,42.514999,42.877499,41.068687,156572000,0.23377156766821727
2018-01-29,42.540001,42.540001,41.767502,41.990002,40.218624,202561600,-2.0698567743351437
